,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,0,0.9285680651664734,0.3523910641670227,0.0961618423461914,0.0540580004453659,0.1320897042751312,0.43429896235466,0.2809805870056152,0.9558786153793336,3748.0,173.0,1565.0,9591.0,0.4780886471271515,0.5246100425720215,0.7813860177993774,0.2243589758872985,-0.0011093616485595,-0.0003923332260455,-0.0014333431608974,0.2776119410991668,0.1638285368680954,0.9087947607040404,279.0,28.0,141.0,1424.0,0.2340827882289886,0.3782437741756439,0.7190194129943848,0.8361714631319046,13264
1,1,0.7250477075576782,0.4053724110126495,0.1706255674362182,0.1028838381171226,0.222151979804039,0.4781676828861236,0.3155103921890259,0.9870058298110962,3570.0,47.0,1742.0,7745.0,0.4658106863498688,0.5334569811820984,0.6851353049278259,0.7441239356994629,0.4530413150787353,0.3268209099769592,0.3591403067111969,0.4730473160743713,0.3571428656578064,0.7003257274627686,215.0,92.0,1178.0,387.0,0.7200657725334167,0.6593565940856934,0.6844896078109741,0.6428571343421936,26528
2,2,0.6110751628875732,0.658577561378479,0.5005236864089966,0.3694479465484619,0.4553682208061218,0.6069232225418091,0.4448164701461792,0.9549350142478944,3454.0,163.0,5176.0,4311.0,0.6545369029045105,0.6496045589447021,0.6627739071846008,0.7596153616905212,0.4401514530181885,0.3342532515525818,0.3579830825328827,0.4742990732192993,0.3697631955146789,0.6612377762794495,203.0,104.0,1219.0,346.0,0.7745773792266846,0.7105449438095093,0.5551835298538208,0.630236804485321,39792
3,3,0.5398762822151184,0.7465659379959106,0.616584300994873,0.4929932057857513,0.5512611865997314,0.6732907295227051,0.5226023197174072,0.9460878968238832,3422.0,195.0,6361.0,3126.0,0.7385701537132263,0.717462956905365,0.665069580078125,0.7670940160751343,0.4464788436889648,0.3445388674736023,0.3663307428359985,0.4809523820877075,0.3789868652820587,0.6579804420471191,202.0,105.0,1234.0,331.0,0.7840038537979126,0.7196579575538635,0.4773976802825928,0.6210131347179413,53056
4,4,0.4760124981403351,0.7910561561584473,0.6763262748718262,0.5640190839767456,0.6072854399681091,0.7136582136154175,0.573927640914917,0.9433231949806212,3412.0,205.0,6954.0,2533.0,0.795037567615509,0.76958167552948,0.6411657333374023,0.7649572491645813,0.4177393913269043,0.327657550573349,0.3459528982639313,0.4660194218158722,0.3713732957839966,0.6254071593284607,192.0,115.0,1240.0,325.0,0.7911096215248108,0.7262510061264038,0.426072359085083,0.6286267042160034,66320
5,5,0.4175510108470917,0.8213522434234619,0.7234759330749512,0.6181092858314514,0.6536188721656799,0.7462880611419678,0.613725483417511,0.9518938064575196,3443.0,174.0,7320.0,2167.0,0.8368481993675232,0.8133255243301392,0.8366188406944275,0.7286324501037598,0.4894964694976806,0.3309290409088135,0.3777102530002594,0.481632649898529,0.3506686389446258,0.7687296271324158,236.0,71.0,1128.0,437.0,0.720646858215332,0.6595878005027771,0.386274516582489,0.6493313610553741,79584
6,6,0.3649433255195617,0.848901093006134,0.7616991996765137,0.6682978272438049,0.6948376297950745,0.7767252922058105,0.6558750867843628,0.9521703124046326,3444.0,173.0,7680.0,1807.0,0.873487114906311,0.8521329164505005,0.6994720101356506,0.754273533821106,0.4547085762023926,0.3366069495677948,0.3649686574935913,0.478458046913147,0.3669565320014953,0.6872963905334473,211.0,96.0,1201.0,364.0,0.7664169073104858,0.6982496976852417,0.3441249132156372,0.6330434679985046,92848
7,7,0.3171367645263672,0.8747710585594177,0.8013668060302734,0.7189087271690369,0.7386599779129028,0.8086297512054443,0.6992738842964172,0.9585291743278505,3467.0,150.0,7996.0,1491.0,0.902015507221222,0.8842440843582153,0.6467598080635071,0.7895299196243286,0.4628424644470215,0.3761678338050842,0.3916831910610199,0.501265823841095,0.4099378883838653,0.6449511647224426,198.0,109.0,1280.0,285.0,0.8061884641647339,0.7424427270889282,0.3007261157035827,0.5900621116161346,106112
8,8,0.2700302004814148,0.896138608455658,0.838065505027771,0.7633109092712402,0.7789093255996704,0.8375701308250427,0.7368752360343933,0.9701409935951232,3509.0,108.0,8234.0,1253.0,0.9218484163284302,0.9064972996711732,0.6526092290878296,0.7905982732772827,0.4222269058227539,0.3560382723808288,0.3661394715309143,0.4814814925193786,0.4053452014923095,0.5928338766098022,182.0,125.0,1298.0,267.0,0.8167780637741089,0.7501431107521057,0.2631247639656067,0.5946547985076904,119376
9,9,0.2234770506620407,0.9191849827766418,0.8705828189849854,0.8115142583847046,0.820986270904541,0.869016706943512,0.7862578630447388,0.971246898174286,3513.0,104.0,8532.0,955.0,0.945701539516449,0.9349014163017272,0.6433402895927429,0.7932692170143127,0.4175666570663452,0.3564370274543762,0.3652082681655884,0.4805369079113006,0.4086757898330688,0.5830618739128113,179.0,128.0,1306.0,259.0,0.8191943168640137,0.750506579875946,0.2137421369552612,0.5913242101669312,132640
