,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,0,0.9727293848991394,0.2878448367118835,0.0112001895904541,0.0062880078330636,0.0511603727936744,0.4389382600784302,0.2813109755516052,0.9983384013175964,3605.0,6.0,120.0,9210.0,0.3990799784660339,0.4784572124481201,0.8145481944084167,0.4305905997753143,0.2330979108810424,0.0963694900274276,0.181586354970932,0.3237410187721252,0.198092445731163,0.8852459192276001,270.0,35.0,583.0,1093.0,0.3764199912548065,0.436459332704544,0.7186890244483948,0.801907554268837,13249
1,1,0.8193877935409546,0.3311181664466858,0.0662988424301147,0.0383509770035743,0.1277460306882858,0.4524291455745697,0.2931868433952331,0.99030739068985,3576.0,35.0,709.0,8621.0,0.4285082221031189,0.5120614767074585,0.9832016229629515,0.195860669016838,0.0468406677246093,0.014948084950447,0.0834221020340919,0.2762380838394165,0.1603375524282455,0.99672132730484,304.0,1.0,84.0,1592.0,0.2377703189849853,0.3900326788425445,0.7068131566047668,0.8396624475717545,26498
2,2,0.6833629608154297,0.5091569423675537,0.3011918067932129,0.1980048418045044,0.3134569525718689,0.5246220827102661,0.3594503104686737,0.9706452488899232,3505.0,106.0,3084.0,6246.0,0.5409352779388428,0.5724068880081177,0.7292808890342712,0.6718828678131104,0.4378399848937988,0.2579583823680877,0.3205504417419433,0.4247787594795227,0.290909081697464,0.7868852615356445,240.0,65.0,1091.0,585.0,0.6644406914710999,0.620023250579834,0.6405496895313263,0.709090918302536,39747
3,3,0.5665170550346375,0.7145506739616394,0.5745363235473633,0.447460800409317,0.5168508291244507,0.6504542231559753,0.4940347969532013,0.9518138766288756,3437.0,174.0,5810.0,3520.0,0.7068174481391907,0.6903639435768127,0.6545313596725464,0.7672892212867737,0.4862396717071533,0.3524734675884247,0.3841254711151123,0.4837625920772552,0.3673469424247741,0.7081966996192932,216.0,89.0,1304.0,372.0,0.7798111438751221,0.7194686532020569,0.5059652030467987,0.6326530575752258,52996
4,4,0.4899205565452575,0.7783015370368958,0.6619422435760498,0.545728325843811,0.594668447971344,0.7051690220832825,0.560620903968811,0.9501523375511168,3431.0,180.0,6641.0,2689.0,0.7738586664199829,0.749017059803009,0.8209992051124573,0.7127713561058044,0.5371278524398804,0.3275840580463409,0.3965989947319031,0.4765409529209137,0.3312020599842071,0.8491803407669067,259.0,46.0,1153.0,523.0,0.6931763887405396,0.638533890247345,0.4393790960311889,0.6687979400157928,66245
5,5,0.4258558750152588,0.8124565482139587,0.7127113342285156,0.6045910120010376,0.6437056660652161,0.739843487739563,0.6035327315330505,0.9556909203529358,3451.0,160.0,7063.0,2267.0,0.8256787657737732,0.8004860877990723,0.6909709572792053,0.7652700543403625,0.5026272535324097,0.3580870330333709,0.3936817646026611,0.4895718991756439,0.367986798286438,0.7311475276947021,223.0,82.0,1293.0,383.0,0.7769299149513245,0.7105700969696045,0.3964672684669494,0.632013201713562,79494
6,6,0.3639592826366424,0.8442933559417725,0.7611136436462402,0.662929117679596,0.6931161284446716,0.7752871513366699,0.6489917635917664,0.9626142382621764,3476.0,135.0,7450.0,1880.0,0.862738847732544,0.8407856822013855,0.6431493759155273,0.807672917842865,0.5125161409378052,0.4097605645656585,0.4281190633773803,0.5219573378562927,0.422764241695404,0.6819671988487244,208.0,97.0,1392.0,284.0,0.8152077794075012,0.7509576678276062,0.3510082364082336,0.577235758304596,92743
7,7,0.309489369392395,0.8700255155563354,0.8000302314758301,0.7123607397079468,0.7353256940841675,0.8060424327850342,0.6905750036239624,0.9678759574890136,3495.0,116.0,7764.0,1566.0,0.8958880305290222,0.8778073787689209,0.5822296738624573,0.8243311643600464,0.4517450332641601,0.4011747539043426,0.4065280854701996,0.5056818127632141,0.4461152851581573,0.5836065411567688,178.0,127.0,1455.0,221.0,0.8430561423301697,0.7832825183868408,0.3094249963760376,0.5538847148418427,105992
8,8,0.2641920149326324,0.8918167352676392,0.8319528102874756,0.7557493448257446,0.7725247144699097,0.8335314989089966,0.7303605079650879,0.9706452488899232,3505.0,106.0,8036.0,1294.0,0.9226446747779846,0.908669114112854,0.6379039883613586,0.8192831873893738,0.4779627323150635,0.4079399108886719,0.417399138212204,0.5149051547050476,0.4387990832328796,0.6229507923126221,190.0,115.0,1433.0,243.0,0.8309071063995361,0.7657614946365356,0.2696394920349121,0.5612009167671204,119241
9,9,0.2263680100440979,0.9102078676223756,0.8601779937744141,0.7940001487731934,0.8063126802444458,0.8583617806434631,0.7666013240814209,0.975076138973236,3521.0,90.0,8258.0,1072.0,0.9401553869247437,0.92865389585495,0.538316547870636,0.8359414339065552,0.4064633846282959,0.392260730266571,0.3927616477012634,0.4897959232330322,0.4698795080184936,0.5114753842353821,156.0,149.0,1500.0,176.0,0.856010377407074,0.7984923124313354,0.2333986759185791,0.5301204919815063,132490
