,epoch,loss,acc,tss,hss,mcc,f1,precision,recall,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss,val_hss,val_mcc,val_f1,val_precision,val_recall,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,far,val_far,num_train_inst
0,0,0.215934544801712,0.5646979808807373,0.0979648828506469,0.1010288894176483,0.2121174782514572,0.7021217942237854,0.5437086820602417,0.9907971620559692,7644.0,71.0,770.0,6415.0,0.7309533953666687,0.7425290942192078,0.6063433289527893,0.5617284178733826,0.0605851411819458,0.0643709301948547,0.1644971221685409,0.7076184153556824,0.549573540687561,0.9932562708854676,1031.0,7.0,61.0,845.0,0.7130253911018372,0.736336886882782,0.4562913179397583,0.4504264593124389,13259
1,1,0.1750153601169586,0.5514898896217346,0.0735028982162475,0.0756617859005928,0.1786466985940933,0.6953010559082031,0.5354171991348267,0.9913264513015748,6629.0,58.0,515.0,5752.0,0.7279057502746582,0.7595089673995972,0.5122817158699036,0.7067901492118835,0.3733874559402466,0.3879255354404449,0.4735051989555359,0.7816091775894165,0.6488549709320068,0.9826589822769164,1020.0,18.0,354.0,552.0,0.7977410554885864,0.8108178377151489,0.4645828008651733,0.3511450290679931,26518
2,2,0.1434560120105743,0.6043692827224731,0.1834571361541748,0.1880548000335693,0.2964105010032654,0.719224214553833,0.5675255060195923,0.981606125831604,6564.0,123.0,1265.0,5002.0,0.7620659470558167,0.7890154719352722,0.4630432426929474,0.8256173133850098,0.6341091394424438,0.6440991163253784,0.6621687412261963,0.8524162173271179,0.7776012420654297,0.9431599378585817,979.0,59.0,626.0,280.0,0.8836200833320618,0.8819251656532288,0.4324744939804077,0.2223987579345703,39777
3,3,0.1255263090133667,0.6921414136886597,0.3655750751495361,0.3722987771034241,0.4520721435546875,0.7651078104972839,0.6311339735984802,0.9712875485420228,6495.0,192.0,2471.0,3796.0,0.8125397562980652,0.8280830979347229,0.4677630662918091,0.8070987462997437,0.5910053253173828,0.6039326190948486,0.6379387378692627,0.8425031304359436,0.746835470199585,0.9662812948226928,1003.0,35.0,566.0,340.0,0.865298330783844,0.8664366602897644,0.3688660264015198,0.253164529800415,53036
4,4,0.1106317564845085,0.7860120534896851,0.560228705406189,0.5666574239730835,0.6058740019798279,0.8227394819259644,0.7186906337738037,0.9620158672332764,6433.0,254.0,3749.0,2518.0,0.8701938986778259,0.8755311369895935,0.4160787761211395,0.8523662686347961,0.6993645429611206,0.7021734714508057,0.7034050226211548,0.8654477000236511,0.8429223895072937,0.889210045337677,923.0,115.0,734.0,172.0,0.9181374311447144,0.9155335426330566,0.2813093662261963,0.1570776104927063,66295
5,5,0.0967759862542152,0.8489269614219666,0.6909464597702026,0.6955296397209167,0.7105592489242554,0.8667710423469543,0.7955511212348938,0.951996386051178,6366.0,321.0,4631.0,1636.0,0.9125534296035768,0.9131832122802734,0.3863744735717773,0.8523662686347961,0.7020313739776611,0.7029687762260437,0.7031047344207764,0.8630071878433228,0.8552507162094116,0.8709055781364441,904.0,134.0,753.0,153.0,0.925432026386261,0.9226018190383912,0.2044488787651062,0.1447492837905883,79554
6,6,0.0849225968122482,0.8878338932991028,0.7713276147842407,0.7745062112808228,0.7808391451835632,0.8976255655288696,0.8486543893814087,0.9525945782661438,6370.0,317.0,5131.0,1136.0,0.937071979045868,0.9362571239471436,0.4005466401576996,0.8528806567192078,0.71211838722229,0.7066629528999329,0.7112038731575012,0.854526937007904,0.9051724076271056,0.8092485666275024,840.0,198.0,818.0,88.0,0.9277851581573486,0.92494136095047,0.1513456106185913,0.0948275923728942,92813
7,7,0.072385124862194,0.912691056728363,0.822898268699646,0.8247953653335571,0.8268883228302002,0.9182389974594116,0.8887489438056946,0.9497532248497008,6351.0,336.0,5472.0,795.0,0.9562223553657532,0.9550199508666992,0.4001141190528869,0.8544238805770874,0.7033584117889404,0.7062829732894897,0.7076108455657959,0.8674473166465759,0.8441203236579895,0.8921002149581909,926.0,112.0,735.0,171.0,0.916463315486908,0.9100329875946044,0.1112510561943054,0.1558796763420105,106072
8,8,0.0625483691692352,0.9272039532661438,0.8527363538742065,0.8540330529212952,0.8549739122390747,0.9310521483421326,0.9108726978302002,0.9521459341049194,6367.0,320.0,5644.0,623.0,0.9677761793136596,0.9673345685005188,0.3911201059818268,0.8410493731498718,0.6885566711425781,0.6831390857696533,0.6877720355987549,0.8425878882408142,0.8940540552139282,0.7967244982719421,827.0,211.0,808.0,98.0,0.9184935092926024,0.9134926795959472,0.0891273021697998,0.1059459447860717,119331
9,9,0.0544517934322357,0.9384745955467224,0.8755719661712646,0.8766657710075378,0.8773173093795776,0.9414960145950316,0.9245963096618652,0.959024965763092,6413.0,274.0,5744.0,523.0,0.9766764044761658,0.9758238792419434,0.4076163172721863,0.8364197611808777,0.6731488704681396,0.6719227433204651,0.6721646189689636,0.844878077507019,0.8557312488555908,0.834296703338623,866.0,172.0,760.0,146.0,0.9134979248046876,0.9065123796463012,0.0754036903381347,0.1442687511444091,132590
